ID|Action|Type|Point|Line|Poly|Preset_Path|OSM_Tag|OSM_Wiki_Link|POI|POI_Values|POI_OSM_Tags|POI_GIS_Tags|Road|Road_Values|Road_OSM_Tags|Road_GIS_Tags|Trail|Trail_Values|Trail_OSM_Tags|Trail_GIS_Tags|Building|Building_Values|Building_OSM_Tags|Building_GIS_Tags
107|x|Primary Road||x||highway/primary|{"highway":"primary"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Primary"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
108|Add OSM preset tag|Private Road||x|||{"highway":"road","access":"private"}|http://wiki.openstreetmap.org/wiki/Tag:access%3Dprivate|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Private"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
109||Public Building|x||x|building/public|{"building":"public"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dpublic|Yes|{"POITYPE":"Public Building"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
110|Add from GNIS|Quarry (Mine)|x||x|landuse/quarry|{"landuse":"quarry"}|http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dquarry|Yes|{"POITYPE":"Quarry (Mine)"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
111||Radiator Water|x||x|emergency/water_tank|{"emergency":"water_tank"}|http://wiki.openstreetmap.org/wiki/Tag:emergency%3Dwater_tank|Yes|{"POITYPE":"Radiator Water"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
112|GNIS|Range|||||||Yes|{"POITYPE":"Range"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
113||Ranger Station|x||x|amenity/ranger_station|{"amenity":"ranger_station"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dranger_station|Yes|{"POITYPE":"Ranger Station"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
114|Add from GNIS|Rapids|x|x|x||{"waterway":"rapids"}|http://wiki.openstreetmap.org/wiki/Tag:waterway%3Drapids|Yes|{"POITYPE":"Rapids"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
115||Recycling|x||x|amenity/recycling|{"amenity":"recycling"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Drecycling|Yes|{"POITYPE":"Recycling"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
116|Add from GNIS|Reef (Bar)|x||x||{"natural":"reef"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dreef|Yes|{"POITYPE":"Reef (Bar)"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
117|Add from GNIS|Reserve|x||x|leisure/nature_reserve|{"leisure":"nature_reserve"}|http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dnature_reserve|Yes|{"POITYPE":"Reserve"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
118|Add from GNIS|Reservoir|x||x||{"natural":"water","water":"reservoir","landuse":"reservoir"}|http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dreservoir|Yes|{"POITYPE":"Reservoir"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
119||Residential Building|x||x|building/residential|{"building":"residential"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dresidential|Yes|{"POITYPE":"Residential Building"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
120|x|Residential Road||x||highway/residential|{"highway":"residential"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dresidential|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Local"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
121||Restroom|x||x|amenity/toilets|{"amenity":"toilets"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtoilets|Yes|{"POITYPE":"Restroom"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
122||Retail Building|x||x|building/retail|{"building":"retail"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dretail|Yes|{"POITYPE":"Retail Building"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
123|x|Ridge||x||natural/ridge|{"natural":"ridge"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dridge|Yes|{"POITYPE":"Ridge"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
124|DEPRECATE|Roof||||building/roof|{"building":"roof"}|||||||||||||||||
125||Row Houses|x||x|building/terrace|{"building":"terrace"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dterrace|Yes|{"POITYPE":"Row Houses"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
126||RV Campground|x||x|tourism/rv_campground|{"tourism":"camp_site","caravans":"yes"}|http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dcamp_site|Yes|{"POITYPE":"RV Campground"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
127|Add from GNIS|Saddle (Gap)|x||||{"natural":"saddle"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dsaddle|Yes|{"POITYPE":"Saddle (Gap)"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
128||Sailing|x|x|x|sport/sailing|{"sport":"sailing"}|http://wiki.openstreetmap.org/wiki/Tag:sport%3Dsailing|Yes|{"POITYPE":"Sailing"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
129||Sanitary Disposal Station|x|||amenity/dumpstation|{"amenity":"dumpstation"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddumpstation|Yes|{"POITYPE":"Sanitary Disposal Station"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
130|x|School Building|x||x|building/school|{"building":"school"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dschool|Yes|{"POITYPE":"School Building"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
131||Scuba Driving|x|x|x|sport/scuba_diving|{"sport":"scuba_diving"}|http://wiki.openstreetmap.org/wiki/Tag:sport%3Dscuba_diving|Yes|{"POITYPE":"Scuba Driving"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
132|Add from GNIS|Sea|x||||{"place":"sea"}|http://wiki.openstreetmap.org/wiki/Tag:place%3Dsea|Yes|{"POITYPE":"Sea"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
133|x|Secondary Link||x||highway/secondary_link|{"highway":"secondary_link"}|http://wiki.openstreetmap.org/wiki/Highway_link|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Secondary"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
134|x|Secondary Road||x||highway/secondary|{"highway":"secondary"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dsecondary|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Secondary"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
135|x|Service Road||x||highway/service|{"highway":"service"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dservice|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Service"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
136|Add from GNIS|Shaft (Mine)|x||x||{"man_made":"mineshaft"}|http://wiki.openstreetmap.org/wiki/Tag:man_made%3Dmineshaft|Yes|{"POITYPE":"Shaft (Mine)"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
137||Shed|x||x|building/shed|{"building":"shed"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dshed|Yes|{"POITYPE":"Shed"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
138|Change OSM preset tag|Shelter|x||x|amenity/shelter|{"amenity":"shelter","building":"hut"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dshelter|Yes|{"POITYPE":"Shelter"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
139|Add from GNIS|Shoal (Bar)|x|x|x||{"natural":"shoal"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dshoal|Yes|{"POITYPE":"Shoal (Bar)"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
140||Showers|x||x|amenity/shower|{"amenity":"shower"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dshower|Yes|{"POITYPE":"Showers"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
141|Add GIS tag|Sidewalk|x|x||footway/sidewalk|{"highway":"footway","footway":"sidewalk"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dfootway|Yes|{"POITYPE":"Sidewalk"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Sidewalk Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
142||Sledding|x|x||piste_type/sled|{"piste:type":"sled"}|http://wiki.openstreetmap.org/wiki/Key:piste:type|Yes|{"POITYPE":"Sledding"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
143|GNIS|Slope|||||||Yes|{"POITYPE":"Slope"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
144|x|Snowmobile Trail|x|x||highway/snowmobile_trail|{"highway":"track","snowmobile":"yes"}|http://wiki.openstreetmap.org/wiki/Key:snowmobile|Yes|{"POITYPE":"Snowmobile Trail"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_SNOWMOBILE":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
145|Add OSM preset tag|Snowshoe Trail|x|x|||{"piste:type":"hike"}|http://wiki.openstreetmap.org/wiki/Key:piste:type|Yes|{"POITYPE":"Snowshoe Trail"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_SNOWSHOE":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
146|Add from GNIS|Spring|x|||natural/spring|{"natural":"spring"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dspring|Yes|{"POITYPE":"Spring"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
147||Stable|x||x|building/stable|{"building":"stable"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dstable|Yes|{"POITYPE":"Stable"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
148||Static Mobile Home|x||x|building/static_caravan|{"building":"static_caravan"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dstatic_caravan|Yes|{"POITYPE":"Static Mobile Home"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
149||Store|x||x|shop/general|{"shop":"general"}|http://wiki.openstreetmap.org/wiki/Tag:shop%3Dgeneral|Yes|{"POITYPE":"Store"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
150|Add from GNIS|Strait (Channel)|x||x||{"natural":"strait"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dstrait|Yes|{"POITYPE":"Strait (Channel)"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
151|Add from GNIS|Stream||x||waterway/stream|{"waterway":"stream"}|http://wiki.openstreetmap.org/wiki/Tag:waterway%3Dstream|Yes|{"POITYPE":"Stream"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
152|Add from GNIS|Swamp|||x||{"natural":"wetland","wetland":"swamp"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwetland|Yes|{"POITYPE":"Swamp"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
153||Swimming Area|x||x|sport/swimming|{"sport":"swimming"}|http://wiki.openstreetmap.org/wiki/Tag:sport%3Dswimming|Yes|{"POITYPE":"Swimming Area"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
154||Telephone|x|||amenity/telephone|{"amenity":"telephone"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtelephone|Yes|{"POITYPE":"Telephone"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
155|x|Tertiary Link||x||highway/tertiary_link|{"highway":"tertiary_link"}|http://wiki.openstreetmap.org/wiki/Highway_link|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Local"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
156|x|Tertiary Road|x|x||highway/tertiary|{"highway":"tertiary"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dtertiary|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Local"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
157|Add from GNIS|Tower|x||x|man_made/tower|{"man_made":"tower"}|http://wiki.openstreetmap.org/wiki/Tag:man_made%3Dtower|Yes|{"POITYPE":"Tower"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
158|Add GIS tag|Track|x|x||highway/track|{"highway":"track"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dtrack|Yes|{"POITYPE":"Track"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
159||Traffic Signals|x|||highway/traffic_signals|{"highway":"traffic_signals"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dtraffic_signals|Yes|{"POITYPE":"Traffic Signals"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
160|x|Trail|x|x||highway/path|{"highway":"path"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath|Yes|{"POITYPE":"Trail"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_FOOT":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
161|Change OSM preset tag|Trail Guidepost|x|||tourism/self_guiding_trail|{"tourism":"information","information":"guidepost"}|http://wiki.openstreetmap.org/wiki/Tag:information%3Dguidepost|Yes|{"POITYPE":"Trail Guidepost"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
162||Trailhead|x|||highway/trailhead|{"highway":"trailhead"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dtrailhead|Yes|{"POITYPE":"Trailhead"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
163||Train Station|x||x|building/train_station|{"building":"train_station"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dtrain_station|Yes|{"POITYPE":"Train Station"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
164|x|Trunk Link||x||highway/trunk_link|{"highway":"trunk_link"}|http://wiki.openstreetmap.org/wiki/Highway_link|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Local"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
165|x|Trunk Road||x||highway/trunk|{"highway":"trunk"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dtrunk|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Local"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
166|x|Tunnel||x|||{"tunnel":"yes"}|http://wiki.openstreetmap.org/wiki/Key:tunnel||||||||||||||||
167||Turning Circle|x|||highway/turning_circle|{"highway":"turning_circle"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dturning_circle|Yes|{"POITYPE":"Turning Circle"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
168|x|Unclassified Road||x||highway/unclassified|{"highway":"unclassified"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dunclassified|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Local"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
169||University Building|x||x|building/university|{"building":"university"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Duniversity|Yes|{"POITYPE":"University Building"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
170|x|Unknown Road||x||highway/road|{"highway":"road"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"Unknown"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
171|x|Valley|x|x||natural/valley|{"natural":"valley"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dvalley|Yes|{"POITYPE":"Valley"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
172||Visitor Center|x||x|tourism/visitor_center|{"tourism":"information","information":"office"}|http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dinformation|Yes|{"POITYPE":"Visitor Center"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
173|Add from GNIS|Volcano (Crater)|x||||{"natural":"volcano"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dvolcano|Yes|{"POITYPE":"Volcano (Crater)"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
174||Warehouse|x||x|building/warehouse|{"building":"warehouse"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dwarehouse|Yes|{"POITYPE":"Warehouse"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
175||Waste Basket|x|||amenity/waste_basket|{"amenity":"waste_basket"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dwaste_basket|Yes|{"POITYPE":"Waste Basket"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
176|Add from GNIS|Water Well|x||x|man_made/water_well|{"man_made":"water_well"}|http://wiki.openstreetmap.org/wiki/Tag:man_made%3Dwater_well|Yes|{"POITYPE":"Water Well"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
177|x|Waterfall|x|||waterway/waterfall|{"waterway":"waterfall"}|http://wiki.openstreetmap.org/wiki/Tag:waterway%3Dwaterfall|Yes|{"POITYPE":"Waterfall"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
178|x|Wetland|||x|natural/wetland|{"natural":"wetland"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwetland|Yes|{"POITYPE":"Wetland"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
179||Wheelchair Accessible|x|x|x|wheelchair/yes_wc|{"wheelchair":"yes"}|http://wiki.openstreetmap.org/wiki/Key:wheelchair#wheelchair.3Dyes|Yes|{"POITYPE":"Wheelchair Accessible"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
180||Wifi|x|x|x|wifi|{"wifi":"yes"}|http://wiki.openstreetmap.org/wiki/Key:internet_access|Yes|{"POITYPE":"Wifi"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
181||Wind Surfing Area|x|x|x|sport/windsurfing|{"sport":"windsurfing"}|http://wiki.openstreetmap.org/wiki/Tag:sport%3Dwindsurfing|Yes|{"POITYPE":"Wind Surfing Area"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
182|Add from GNIS|Woods|x||x|natural/wood|{"natural":"wood"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwood|Yes|{"POITYPE":"Woods"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
183||Historic Ruins|x|x|x|historic/ruins|{"historic":"ruins"}||Yes|{"POITYPE":"Historic Ruins"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
